Product,Current price,old price,Discount,Review,Ratingd
Punch-free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,KSh 389,KSh 656,41%,-36,4.3 out of 5
"1/2/3 Seater Elastic Sofa Cover,Living Room/Home Decor Chair Cover-Grey","KSh 1,620 - KSh 1,980","KSh 2,200 - KSh 3,200",38%,-2,4.5 out of 5
LASA Stainless Steel Double Wall Mount Soap Dispenser - 500ml,"KSh 2,750","KSh 4,471",38%,,
4M Float Switch Water Level Controller -Water Tank,KSh 475,KSh 931,49%,,
Modern Sofa Throw Pillow Cover-45x45cm-Blue&Red,KSh 238,KSh 476,50%,,
"Balloon Insert, Birthday Party Balloon Set, PU Leather",KSh 610,"KSh 1,060",42%,,
"Balloon Insert, Birthday Party Balloon Set, PU Leather",KSh 610,"KSh 1,060",42%,,
Shower Cap Wide Elastic Band Cover Reusable Bashroom Cap,"KSh 2,132","KSh 2,169",2%,,
Christmas Elk Fence Yard Lawn Decorations Cute For Holidays,KSh 999,"KSh 2,000",50%,,
60W Hot Melt Glue Sprayer - Efficient And Stable Glue Dispensing,"KSh 1,190","KSh 1,785",33%,,
Car Phone Charging Stand,KSh 671,"KSh 1,316",49%,,
2pcs Solar Street Light Flood Light Outdoor,"KSh 1,200","KSh 1,950",38%,,
Creative Owl Shape Keychain Black,KSh 199,KSh 504,61%,,
Brush & Paintbrush Cleaning Tool Pink,KSh 299,KSh 600,50%,,
Pen Grips For Kids Pen Grip Posture Correction Tool For Kids,"KSh 1,660","KSh 1,699",2%,,
Pilates Cloth Bag Waterproof Durable High Capacity Purple,KSh 299,KSh 384,22%,,
Multi-purpose Rice Drainage Basket And Fruit And Vegetable Drainage Sieve,"KSh 1,459","KSh 1,499",3%,,
Cute Christmas Fence Garden Decorations For Holiday Home,KSh 799,"KSh 1,343",41%,,
Simple Metal Dog Art Sculpture Decoration For Home Office,KSh 499,KSh 900,45%,,
Christmas Fence Garden Decorations Outdoor For Holiday Home,KSh 699,"KSh 1,343",48%,,
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,KSh 799,"KSh 1,567",49%,,
12V 19500rpm Handheld Electric Angle Grinder Tool - UK - Yellow/Black,"KSh 2,799","KSh 3,810",27%,,
Simple Metal Dog Art Sculpture Decoration For Home Office,KSh 399,KSh 896,55%,,
5 Pieces/set Of Stainless Steel Induction Cooker Pots,"KSh 2,170","KSh 2,500",13%,-6,2.5 out of 5
Mythco 120COB Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,KSh 458,KSh 986,54%,-10,3 out of 5
5-PCS Stainless Steel Cooking Pot Set With Steamed Slices,"KSh 2,115","KSh 4,700",55%,-13,2.1 out of 5
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,KSh 445,KSh 873,49%,-69,2.8 out of 5
Intelligent  LED Body Sensor Wireless Lighting Night Light USB,KSh 325,KSh 680,52%,-15,2.7 out of 5
VIC Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,"KSh 1,220","KSh 1,555",22%,-16,2.9 out of 5
Artificial Potted Flowers Room Decorative Flowers (2 Pieces),KSh 990,"KSh 1,814",45%,-6,2.2 out of 5
380ML USB Rechargeable Portable Small Blenders And Juicers,"KSh 1,000","KSh 2,000",50%,-7,2.3 out of 5
32PCS Portable Cordless Drill Set With Cyclic Battery Drive -26 Variable Speed,"KSh 3,750","KSh 6,143",39%,-5,3 out of 5
Agapeon Toothbrush Holder And Toothpaste Dispenser,KSh 382,KSh 700,45%,-17,2.6 out of 5
Large Lazy Inflatable Sofa Chairs PVC Lounger Seat Bag,"KSh 2,300","KSh 3,240",29%,-5,3 out of 5
Watercolour Gold Foil Textured Print Pillow Cover,KSh 345,KSh 602,43%,-6,2.3 out of 5
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,KSh 509,KSh 899,43%,-5,3 out of 5
"7-piece Set Of Storage Bags, Travel Storage Bags, Shoe Bags",KSh 968,"KSh 1,814",47%,-6,2.2 out of 5
"Electric LED UV Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -USB","KSh 1,570","KSh 2,988",47%,-7,2.1 out of 5
2PCS/LOT Solar LED Outdoor Intelligent Light Controlled Wall Lamp,KSh 790,"KSh 1,485",47%,,
3PCS Rotary Scraper Thermomix For Kitchen,KSh 690,"KSh 1,200",43%,,
Cushion Silicone Butt Cushion Summer Ice Cushion Honeycomb Gel Cushion,"KSh 1,732","KSh 1,799",4%,,
7PCS Silicone Thumb Knife Finger Protector Vegetable Harvesting Knife,KSh 230,KSh 450,49%,,
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30cm","KSh 1,189","KSh 2,199",46%,-1,3 out of 5
Bedroom Simple Floor Hanging Clothes Rack Single Pole Hat Rack - White,KSh 979,"KSh 1,920",49%,-1,5 out of 5
5m Waterproof Spherical LED String Lights Outdoor Ball Chain Lights Party Lighting Decoration Adjustable,"KSh 1,460","KSh 2,290",36%,,
2 Pairs Cowhide Split Leather Work Gloves.32℉ Or Above Welding Gloves,"KSh 1,666","KSh 1,699",2%,,
Household Pineapple Peeler Peeler,KSh 330,KSh 647,49%,-1,4 out of 5
"Balloon Insert, Birthday Party Balloon Set, PU Leather",KSh 610,"KSh 1,060",42%,,
Creative Owl Shape Keychain Black,KSh 176,KSh 345,49%,,
Office Chair Lumbar Back Support Spine Posture Correction Pillow Car Cushion,"KSh 1,466","KSh 1,699",14%,,
Cartoon Car Decoration Cute Individuality For Car Home Desk,KSh 274,KSh 537,49%,,
Outdoor Portable Water Bottle With Medicine Box - 600ML - Black,KSh 799,KSh 900,11%,,
Angle Measuring Tool Full Metal Multi Angle Measuring Tool,KSh 657,"KSh 1,288",49%,,
Wall-Mounted Toothbrush Toothpaste Holder With Multiple Slots,"KSh 1,468","KSh 1,699",14%,,
Multifunctional Hanging Storage Box Storage Bag (4 Layers),KSh 630,"KSh 1,100",43%,,
Wall Clock With Hidden Safe Box,KSh 850,"KSh 1,700",50%,,
Portable Wine Table With Folding Round Table,"KSh 1,300","KSh 2,500",48%,,
Sewing Machine Needle Threader Stitch Insertion Tool Automatic Quick Sewing,KSh 105,KSh 200,48%,,
6 Layers Steel Pipe Assembling Dustproof Storage Shoe Cabinet,KSh 899,"KSh 1,699",47%,,
6 Layers Steel Pipe Assembling Dustproof Storage Shoe Cabinet,KSh 899,"KSh 1,699",47%,,
2PCS Ice Silk Square Cushion Cover Pillowcases - 65x65cm,"KSh 1,200","KSh 2,400",50%,,
Wall Mount Automatic Toothpaste Dispenser Toothbrush Holder Toothpaste Squeezer,"KSh 1,526","KSh 1,660",8%,,
Portable Soap Dispenser Kitchen Detergent Press Box Kitchen Tools,"KSh 1,462","KSh 1,499",2%,,
4 Piece Coloured Stainless Steel Kitchenware Set,KSh 248,KSh 486,49%,,
Metal Wall Clock Silver Dial Crystal Jewelry Round Home Decoration Wall Clock,"KSh 3,546","KSh 3,699",4%,,
Baby Early Education Shape And Color Cognitive Training Toys,KSh 525,"KSh 1,029",49%,,
8in1 Screwdriver With LED Light,"KSh 1,080","KSh 1,874",42%,,
"Konka Healty Electric Kettle, 24-hour Heat Preservation,1.5L,800W, White","KSh 3,640","KSh 4,588",21%,-1,5 out of 5
"9pcs Gas Mask, For Painting, Dust, Formaldehyde Grinding, Polishing","KSh 1,420","KSh 2,420",41%,,
24 Grid Wall-mounted Sundries Organiser Fabric Closet Bag Storage Rack,"KSh 1,875","KSh 1,899",1%,,
1PC Refrigerator Food Seal Pocket Fridge Bags,KSh 198,KSh 260,24%,,
LED Solar Street Light-fake Camera,"KSh 1,150","KSh 1,737",34%,,
Cartoon Embroidered Mini Towel Bear Cotton Wash Cloth Hand 4pcs,"KSh 1,190","KSh 1,810",34%,,
Shower Nozzle Cleaning Unclogging Needle Mini Crevice Small Hole Cleaning Brush,"KSh 1,658","KSh 1,699",2%,,
Thickening Multipurpose Non Stick Easy To Clean Heat Resistant Spoon Pad,"KSh 1,768","KSh 1,799",2%,,
6 In 1 Bottle Can Opener Multifunctional Easy Opener,KSh 199,KSh 553,64%,,
Wall-mounted Sticker Punch-free Plug Fixer,KSh 450,KSh 900,50%,-1,2 out of 5
Black Simple Water Cup Wine Coaster Anti Slip Absorbent,KSh 169,KSh 320,47%,,
